Departure Date,Exporter Licence Holder(s),Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Sep-18,Australian Rural Exports Pty Ltd,Darwin,Jakarta/Panjang,6,Sep-18,,,,3615,0,0,,,
Sep-18,Frontier International Northern Pty Ltd,Townsville,Haiphong,11,Sep-18,,,,2460,4,0.0016,,,
Sep-18,North Australian Cattle Company Pty Ltd,Darwin,Pasir Gudang,9,Sep-18,296,0,0,2347,10,0.004,,,
Sep-18,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Jakarta/Belawan,12,Sep-18,,,,4666,0,0,,,
Sep-18,Halleen Australiasian Livestock Traders Pty Ltd,Broome,Kumai/Port Klang,9,Sep-18,,,,2483,2,0.0008,,,
Sep-18,Australian Rural Exports Pty Ltd,Portland,Tianjin,20,Sep-18,,,,6841,4,0.0006,,,
Sep-18,Landmark Operations Limited,Portland,Jingtang,19,Sep-18,,,,3857,4,0.001,,,
Sep-18,Australian Rural Exports Pty Ltd/Frontier International Northern Pty Ltd,Darwin,Jakarta/Panjang,9,Sep-18,312,1,0.0032,4907,1,0.0002,,,
Sep-18,Australian Rural Exports Pty Ltd,Darwin,Jakarta/Panjang,9,Sep-18,312,1,0.0032,4907,1,0.0002,,,
Sep-18,Edwards Livestock Company Pty Ltd/Otway Livestock Exports Pty Ltd/Australian Rural Exports Pty Ltd,Brisbane,Shinmoji,14,Sep-18,,,,1350,1,0.0007,,,
Sep-18,South East Asian Livestock Services Pty Ltd,Karumba,Belawan,14,Sep-18,,,,1826,1,0.0006,,,
Sep-18,Frontier International Northern Pty Ltd,Darwin,Jakarta,7,Sep-18,,,,3002,0,0,,,
Sep-18,South East Asian Livestock Services Pty Ltd,Darwin,Muara/Belawan,15,Sep-18,440,1,0.0023,1018,2,0.002,,,
Sep-18,Wellard Rural Exports Pty Ltd,Townsville,Jakarta/Panjang/Belawan,18,Oct-18,,,,18717,13,0.0007,,,
Sep-18,Australian Rural Exports Pty Ltd,Wynham,Panjang,5,Sep-18,199,0,0,3278,0,0,,,
Sep-18,Otway Livestock Exports Pty Ltd,Fremantle,Eilat,20,Oct-18,,,,5901,4,0.0007,,,
Sep-18,Frontier International Northern Pty Ltd,Darwin,Haiphong,11,Sep-18,,,,2009,4,0.002,,,
Sep-18,South East Asian Livestock Services Pty Ltd,Darwin,Subic Bay,7,Oct-18,,,,1648,8,0.0048,,,
Sep-18,Livestock Shipping Services Pty Ltd,Fremantle,Aqaba/Eilat,18,Oct-18,,,,9997,7,0.0007,21337,28,0.0013
