Departure Date,,Reportable Consignment,Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Apr-17,,,Fremantle,Port Sultan Qaboos/Shuwaikh,17,May-17,,,,,,,20546,237,0.0115
Apr-17,*,,Darwin,Bintulu/Muara,8,May-17,,,,1236,95,0.0769,,,
Apr-17,,,Townsville,Vung Ang,12,May-17,,,,4420,5,0.0011,,,
Apr-17,,,Broome/Darwin,Jarkata/Panjang,13,May-17,,,,9826,3,0.0003,,,
May-17,,,Darwin,Panjang,6,May-17,,,,3331,2,0.0006,,,
May-17,,,Darwin,Cilacap,4,May-17,,,,2000,0,0,,,
May-17,,,Townsville,Jakarta,10,May-17,,,,3331,0,0,,,
May-17,,,Darwin,Jakarta,6,May-17,,,,3069,0,0,,,
May-17,,,Darwin,Nghi Son,10,May-17,,,,3433,0,0,,,
May-17,,,Darwin,Jakarta,6,May-17,,,,1960,0,0,,,
May-17,,,Broome,Hai Phong,9,May-17,,,,3273,0,0,,,
May-17,,,Adelaide/Fremantle,Hamad/Muscat/Shuwaikh,28,Jun-17,,,,,,,67730,215,0.0032
May-17,,,Broome/Fremantle,Ho Chi Minh,12,May-17,,,,6000,4,0.0007,,,
May-17,,,Darwin,Panjang,14,May-17,,,,2515,2,0.0008,,,
May-17,,,Fremantle,Cua Lo,11,May-17,,,,1276,11,0.0086,,,
May-17,,,Brisbane,Shin-Moji,17,Jun-17,,,,960,5,0.0052,,,
May-17,,,Wyndham,Panjang,6,May-17,,,,3781,1,0.0003,,,
May-17,,,Darwin,Panjang,5,May-17,,,,3504,0,0,,,
May-17,,,Darwin,Jakarta,6,May-17,,,,2910,0,0,,,
May-17,,,Darwin,Cilacap,5,May-17,,,,2000,1,0.0005,,,
May-17,,,Broome/Fremantle,Vung Ang,14,Jun-17,,,,5075,14,0.0028,,,
May-17,,,Broome,Panjang,6,Jun-17,,,,2963,0,0,,,
May-17,,,Townsville,Hai Phong,12,Jun-17,,,,2371,5,0.0021,,,
May-17,,,Darwin,Panjang,7,Jun-17,,,,3688,1,0.0003,,,
May-17,,,Townsville,Long An/Nghi Son/Thi Vai,15,Jun-17,,,,9734,18,0.0018,,,
May-17,,,Darwin,Panjang,6,Jun-17,,,,3673,0,0,,,
May-17,,,Fremantle,Hamad/Jebel Ali/Kuwait/Muscat,26,Jun-17,,,,270,1,0.0037,71583,457,0.0064
May-17,,,Darwin,Thi Vai,7,Jun-17,,,,3168,0,0,,,
Jun-17,,,Townsville,Jakarta/Panjang,12,Jun-17,,,,6340,5,0.0008,,,
Jun-17,,,Geelong,Jingtang,17,Jun-17,,,,3615,1,0.0003,,,
Jun-17,,,Darwin,Hai Phong,9,Jun-17,,,,2118,7,0.0033,,,
Jun-17,,,Darwin,Hai Phong,10,Jun-17,,,,1216,0,0,,,
Jun-17,,,Broome,Hon La,9,Jun-17,,,,3583,4,0.0011,,,
Jun-17,,,Darwin,Jakarta,7,Jun-17,,,,3665,2,0.0005,,,
Jun-17,,,Darwin,Tanjung Priok,8,Jun-17,,,,3094,0,0,,,
Jun-17,,,Wyndham,Belawan/Panjang,12,Jun-17,,,,5413,3,0.0006,,,
Jun-17,,,Broome/Fremantle,Nghi Son,16,Jun-17,,,,3618,14,0.0039,,,
Jun-17,,,Broome,Panjang,6,Jun-17,,,,2982,2,0.0007,,,
Jun-17,,,Darwin,Pasir Gudang,7,Jun-17,,,,2936,0,0,,,
Jun-17,,,Townsville,Cua Lo/Long An,14,Jun-17,,,,4300,4,0.0009,,,
