Departure Date,,Exporter Licence Holder(s) b,Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Sep-16,,Wellard Rural Exports Pty Ltd,Darwin,Ho Chi Minh,9,Sep-16,1114,3,0.002692998,907,3,0.003307607,,,
Sep-16,,Otway LIvestock Exports Pty Ltd/Wellard Rural Exports Pty Ltd,Fremantle,Eilat,18,Oct-16,,,,4934,11,0.002229428,26479,525,0.019827033
Sep-16,,Frontier International Northern  Pty Ltd,Darwin,Hai Phong,9,Oct-16,,,,2502,2,0.000799361,,,
Sep-16,,Edwards Livestock Company Pty Ltd,Brisbane,Kobe/Shinmoji,16,Oct-16,,,,2159,,,,,
Sep-16,,Total Livestock Genetics Pty Ltd,Portland,Tianjin,19,Oct-16,,,,3000,,,,,
Sep-16,,South East Asian Livestock Services Pty Ltd,Darwin,Hai Phong,10,Oct-16,458,2,0.004366812,796,2,0.002512563,,,
Oct-16,,Frontier International Northern  Pty Ltd,Darwin,Panjang,6,Oct-16,,,,3267,1,0.000306091,,,
Oct-16,,International Livestock Export Pty Ltd,Broome,Panjang/Pasir Gudang,14,Oct-16,,,,2790,,,,,
Oct-16,,Livestock Shipping Services Pty Ltd,Townsville,Ho Chi Minh,9,Oct-16,,,,4787,7,0.001462294,,,
Oct-16,,Emanuel Exports Pty Ltd/International Livestock Export Pty Ltd,Fremantle,Hamad/Jebel Ali /Kuwait/Muscat,24,Oct-16,,,,,,,70986,629,0.008860902
Oct-16,,North Australian Cattle Company Pty Ltd,Townsville,Thi Vai,11,Oct-16,,,,2983,2,0.000670466,,,
Oct-16,,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,8,Oct-16,,,,3573,1,0.000279877,,,
Oct-16,,Wellard Rural Exports Pty Ltd,Townsville,Cua Lo/Lotus Port,17,Oct-16,,,,4034,5,0.001239465,,,
Oct-16,,North Australian Cattle Company Pty Ltd,Townsville,Belawan/Panjang,13,Oct-16,,,,3106,1,0.000321958,,,
Oct-16,,Australian Rural Exports Pty Ltd,Darwin/Weipa,Panjang,8,Oct-16,,,,3571,1,0.000280034,,,
Oct-16,,Livestock Shipping Services Pty Ltd,Fremantle,Khalifa/Kuwait,23,Nov-16,,,,,,,79166,221,0.002791602
Oct-16,,Australian Rural Exports Pty Ltd,Geraldton,Thi Vai,9,Oct-16,,,,2267,3,0.001323335,,,
Oct-16,,International Livestock Export Pty Ltd,Broome,Nghi Son,15,Oct-16,,,,2562,2,0.00078064,,,
Oct-16,,Frontier International Northern  Pty Ltd,Darwin,Jakarta,6,Oct-16,,,,3152,2,0.000634518,,,
Oct-16,,Australian Rural Exports Pty Ltd/Edwards Livestock Company Pty Ltd,Brisbane,Shin-Moji,19,Nov-16,,,,960,1,0.001041667,,,
Oct-16,,International Livestock Export Pty Ltd,Broome,Jakarta/Panjang,9,Nov-16,,,,2726,2,0.000733676,,,
Oct-16,,Australian Rural Exports Pty Ltd,Darwin,Jakarta/Panjang,7,Nov-16,,,,3887,1,0.000257268,,,
Oct-16,,South East Asian Livestock Services Pty Ltd,Karumba,Lahad Datu/Muara,13,Nov-16,,,,1494,5,0.00334672,,,
Oct-16,,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,7,Nov-16,,,,2032,1,0.000492126,,,
Oct-16,,Landmark Operations Pty Ltd,Portland,Tianjin,19,Nov-16,,,,4000,3,0.00075,,,
Oct-16,,Frontier International Northern  Pty Ltd,Darwin,Jakarta,5,Nov-16,,,,3002,,,,,
Oct-16,,Livestock Shipping Services Pty Ltd,Fremantle,Mersin,25,Nov-16,,,,15366,46,0.002993622,,,
Nov-16,,Halleen Australasian Livestock Traders Pty Ltd,Geraldton,Port Klang,9,Nov-16,,,,2419,1,0.000413394,,,
Nov-16,*,North Australian Cattle Company Pty Ltd,Darwin,Belawan/Port Klang,12,Nov-16,372,7,0.018817204,2407,5,0.002077275,,,
Nov-16,,Wellard Rural Exports Pty Ltd,Fremantle,Jakarta /Surabaya,11,Nov-16,,,,6753,2,0.000296165,,,
Nov-16,,International Livestock Export Pty Ltd,Broome,Panjang,8,Nov-16,,,,2864,,,,,
Nov-16,,Frontier International Northern  Pty Ltd,Darwin,Jakarta,6,Nov-16,,,,3167,,,,,
Nov-16,#4,Emanuel Exports Pty Ltd/International Livestock Export Pty Ltd,Fremantle,Hamad/Jebel Ali/Kuwait,24,Dec-16,,,,,,,79621,734,0.009218673
Nov-16,,Halleen Australasian Livestock Traders Pty Ltd/North Australian Cattle Company Pty Ltd,Darwin,Jakarta/Panjang,8,Nov-16,,,,3662,,,,,
Nov-16,#5,Wellard Rural Exports Pty Ltd,Darwin/Fremantle,Jakarta/Lotus/Panjang,25,Dec-16,,,,16322,11,0.000673937,,,
Nov-16,,North Australian Cattle Company Pty Ltd,Townsville,Tanjung Priok,9,Nov-16,,,,3683,2,0.000543036,,,
Nov-16,,Livestock Shipping Services Pty Ltd,Fremantle,Mersin,22,Dec-16,,,,6330,5,0.000789889,,,
Nov-16,,North Australian Cattle Company Pty Ltd,Darwin,Belawan,9,Nov-16,,,,2011,2,0.00099453,,,
Nov-16,,International Livestock Export Pty Ltd,Darwin,Belawan,9,Nov-16,,,,447,1,0.002237136,,,
Nov-16,,International Livestock Export Pty Ltd/South East Asian Livestock Services Pty Ltd,Fremantle,Jakarta/Panjang,9,Nov-16,,,,7248,,,,,
Nov-16,,South East Asian Livestock Services Pty Ltd,Darwin,Hai Phong,10,Nov-16,300,2,0.006666667,1294,6,0.004636785,,,
Nov-16,,Frontier International Northern  Pty Ltd,Geraldton,Hai Phong,12,Dec-16,,,,2454,1,0.000407498,,,
Nov-16,,Australian Rural Exports Pty Ltd,Darwin,Belawan,9,Nov-16,,,,2566,1,0.000389712,,,
Nov-16,,South East Asian Livestock Services Pty Ltd,Karumba,Cilacap,11,Dec-16,,,,1871,,,,,
Nov-16,,Wellard Rural Exports Pty Ltd,Darwin,Jakarta/Panjang,9,Nov-16,,,,6912,2,0.000289352,,,
Nov-16,,Frontier International Northern  Pty Ltd,Darwin,Jakarta,6,Nov-16,,,,3050,1,0.000327869,,,
Nov-16,,Australian Rural Exports Pty Ltd,Darwin,Panjang,10,Dec-16,,,,2794,1,0.00035791,,,
Nov-16,,Frontier International Northern  Pty Ltd/International Livestock Export Pty Ltd/North Australian Cattle Company Pty Ltd,Darwin,Panjang,8,Dec-16,,,,3855,1,0.000259403,,,
Nov-16,,North Australian Cattle Company Pty Ltd,Townsville,Tanjung Priok,8,Nov-16,,,,3679,,,,,
Nov-16,,Emanuel Exports Pty Ltd/International Livestock Export Pty Ltd,Fremantle,Hamad/Jebel Ali/Kuwait/Muscat,24,Dec-16,,,,175,,,71821,542,0.007546539
Nov-16,,International Livestock Export Pty Ltd,Darwin,Belawan/Panjang,13,Dec-16,,,,3103,1,0.000322269,,,
Dec-16,,Halleen Australasian Livestock Traders Pty Ltd/North Australian Cattle Company Pty Ltd/South East Asian Livestock Services Pty Ltd,Townsville,Panjang/Tanjung Priok,9,Dec-16,,,,3717,1,0.000269034,,,
Dec-16,,Frontier International Northern  Pty Ltd,Darwin,Surabaya,5,Dec-16,,,,2998,,,,,
Dec-16,,Phoenix Exports Pty Ltd,Portland,Tianjin,20,Dec-16,,,,4193,7,0.001669449,,,
Dec-16,,Otway LIvestock Exports Pty Ltd,Fremantle,Eilat,18,Dec-16,,,,7029,11,0.001564945,,,
Dec-16,,Australian Rural Exports Pty Ltd,Darwin,Belawan,8,Dec-16,,,,3644,,,,,
Dec-16,,South East Asian Livestock Services Pty Ltd,Darwin,Belawan,9,Dec-16,,,,2020,,,,,
Dec-16,,Frontier International Northern  Pty Ltd,Darwin,Panjang,6,Dec-16,,,,3577,,,,,
Dec-16,,Australian Rural Exports Pty Ltd,Townsville,Jakarta,9,Dec-16,,,,2639,3,0.001136794,,,
Dec-16,,Frontier International Northern  Pty Ltd,Darwin,Surabaya,5,Dec-16,,,,2529,,,,,
Dec-16,,Halleen Australasian Livestock Traders Pty Ltd,Townsville,Ho Chi Minh,18,Dec-16,,,,1254,3,0.002392344,,,
Dec-16,,South East Asian Livestock Services Pty Ltd,Townsville,Jakarta,9,Dec-16,,,,1795,2,0.001114206,,,
Dec-16,,Wellard Rural Exports Pty Ltd,Darwin,Jakarta,6,Dec-16,,,,6972,1,0.000143431,,,
Dec-16,,Australian Rural Exports Pty Ltd/Halleen Australasian Livestock Traders Pty Ltd/North Australian Cattle Company Pty Ltd,Townsville,Tanjung Priok,10,Dec-16,,,,3785,2,0.000528402,,,
Dec-16,,Frontier International Northern  Pty Ltd,Darwin,Jakarta,7,Dec-16,,,,3680,1,0.000271739,,,
Dec-16,,Frontier International Northern  Pty Ltd,Darwin,Surabaya,6,Dec-16,,,,3826,1,0.00026137,,,
