Departure Date,,Exporter Licence Holder(s) (b),Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Nov-14,,Frontier International Northern Pty Ltd,Darwin,Jakarta,6,Nov-14,,,,3195,1,0.000312989,,,
Nov-14,,South East Asian Livestock Services Pty Ltd,Darwin,Haiphong,10,Dec-14,,,,1315,4,0.003041825,,,
Nov-14,,Emanuel Exports Pty Ltd/International Livestock Export Pty Ltd,Fremantle,Bahrain/Jebel Ali/Kuwait/Muscat,22,Dec-14,,,,,,,76172,891,0.011697212
Nov-14,,Australian Rural Exports Pty Ltd,Darwin,Jakarta,7,Dec-14,,,,3814,4,0.001048768,,,
Nov-14,,International Livestock Export Pty Ltd,Fremantle,Pasir Gudang,12,Dec-14,,,,1429,3,0.00209937,500,0,0
Nov-14,,Livestock Shipping Services Pty Ltd,Fremantle,Aqaba/Eilat,25,Dec-14,,,,9958,21,0.002108857,62136,528,0.008497489
Dec-14,,Elders International Australia Limited,Portland,Tianjin,21,Dec-14,,,,2297,2,0.000870701,,,
Dec-14,,North Australian Cattle Company Pty Ltd,Wyndham,Panjang,6,Dec-14,,,,3397,2,0.000588755,,,
Dec-14,,Wellard Rural Exports Pty Ltd,Darwin,Jakarta/Panjang,9,Dec-14,,,,11797,0,0,,,
Dec-14,,Frontier International Northern Pty Ltd,Darwin,Jakarta,6,Dec-14,,,,6746,4,0.000592944,,,
Dec-14,,Australian Rural Exports Pty Ltd,Darwin,Panjang,5,Dec-14,,,,4158,0,0,,,
Dec-14,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Jakarta,5,Dec-14,,,,2877,2,0.000695169,,,
Dec-14,,South East Asian Livestock Services Pty Ltd,Karumba,Cilacap,10,Dec-14,,,,2008,0,0,,,
Dec-14,,Frontier International Agri,Portland,Dalian,19,Dec-14,,,,3500,4,0.001142857,,,
Dec-14,,Otway Livestock Exports Pty Ltd,Fremantle,Mersin,20,Dec-14,,,,2295,8,0.003485839,,,
Dec-14,,Australian Rural Exports Pty Ltd,Darwin,Jakarta,8,Dec-14,,,,2880,1,0.000347222,,,
Dec-14,,South East Asian Livestock Services Pty Ltd,Karumba,Belawan,12,Dec-14,,,,1993,1,0.000501756,,,
Dec-14,,Australian Rural Exports Pty Ltd,Portland,Xiamen,14,Dec-14,,,,4104,0,0,,,
Dec-14,,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,6,Dec-14,,,,3895,0,0,,,
Dec-14,,Australian Rural Exports Pty Ltd,Darwin,Panjang,6,Dec-14,,,,2918,3,0.001028101,,,
Dec-14,,Australian Rural Exports Pty Ltd,Darwin,Panjang,6,Dec-14,,,,3899,0,0,,,
Dec-14,,International Livestock Export Pty Ltd,Fremantle,Jakarta,9,Dec-14,,,,1894,0,0,,,
Dec-14,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Jakarta,6,Dec-14,,,,2739,0,0,,,
Dec-14,,Frontier International Northern Pty Ltd,Darwin,Jakarta,5,Dec-14,,,,6596,4,0.000606428,,,
Dec-14,,North Australian Cattle Company Pty Ltd,Darwin,Panjang,6,Dec-14,,,,3816,1,0.000262055,,,
