Departure Date,,Exporter Licence Holder(s),Load Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Aug-19,,South East Asian Livestock Services Pty Ltd,Townsville,Bangkok,15,Sep-19,,,,1669,0,0,,,
Aug-19,,International Livestock Export Pty Ltd,Broome,Jakarta/Panjang,9,Aug-19,,,,15859,7,0.00044139,,,
Aug-19,,Australian Rural Exports Pty Ltd/South East Asian Livestock Services Pty Ltd,Darwin,Belawan,8,Sep-19,279,0,0,2317,1,0.000431593,,,
Aug-19,,South East Asian Livestock Services Pty Ltd,Townsville,Jakarta,8,Sep-19,,,,3671,5,0.001362027,,,
Aug-19,,Australian Rural Exports Pty Ltd,Broome,Panjang,5,Aug-19,,,,2854,1,0.000350385,,,
Aug-19,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Kumai,6,Sep-19,,,,2176,1,0.000459559,,,
Aug-19,,Australian Rural Exports Pty LTd,Darwin,Jakarta,7,Sep-19,,,,3561,0,0,,,
Aug-19,,North Australian Cattle Company Pty Ltd,Townsville,Hon La,14,Sep-19,,,,4465,5,0.001119821,,,
Sep-19,,North Australian Cattle Company Pty Ltd,Townsville,Phu My,11,Sep-19,,,,2513,0,0,,,
Sep-19,,Frontier International Northern Pty Ltd,Darwin,Jakarta,4,Sep-19,,,,2693,0,0,,,
Sep-19,,Australian Rural Exports Pty Ltd,Townsville,Panjang,7,Sep-19,,,,4124,2,0.000484966,,,
Sep-19,,Australian Rural Exports Pty Ltd,Portland,Tianjin ,16,Sep-19,,,,8316,2,0.0002405,,,
Sep-19,,North Australian Cattle Company Pty Ltd,Wyndham,Jakarta,8,Sep-19,,,,2778,2,0.000719942,,,
Sep-19,,Livestock Shipping Services Pty Ltd,Townsville,Haiphong,11,Sep-19,,,,4211,9,0.00213726,,,
Sep-19,,Frontier International Northern Pty Ltd,Darwin,Hon La,10,Sep-19,305,0,0,1778,3,0.001687289,,,
Sep-19,,South East Asian Livestock Services Pty Ltd,Townsville,Thi Vai,13,Sep-19,,,,2836,7,0.002468265,,,
Sep-19,,International Livestock Export Pty Ltd,Broome,Panjang,5,Sep-19,,,,3237,1,0.000308928,,,
Sep-19,,Livestock Shipping Services Pty Ltd,Townsville,Jakarta,10,Sep-19,,,,10325,8,0.000774818,,,
Sep-19,,Frontier International Northern Pty Ltd,Townsville,Haiphong,11,Sep-19,,,,2254,0,0,,,
Sep-19,,South East Asian Livestock Services Pty Ltd,Townsville,Haiphong,12,Sep-19,,,,2390,1,0.00041841,,,
Sep-19,,South East Asian Livestock Services Pty Ltd,Portland,Weifang,21,Sep-19,,,,4593,2,0.000435445,,,
Sep-19,,Edwards Livestock Company Pty Ltd/Otway Livestock Exports Pty Ltd/Australian Rural Exports Pty Ltd,Brisbane,Shinmoji,13,Sep-19,,,,1500,1,0.000666667,,,
Sep-19,,South East Asian Livestock Services Pty Ltd,Geraldton,Weifang,19,Oct-19,,,,1742,0,0,,,
Sep-19,,South East Asian Livestock Services Pty Ltd,Fremantle,Haiphong,14,Sep-19,,,,921,0,0,,,
Sep-19,,Landmark Operations Limited,Portland,Qingdao,17,Oct-19,,,,3354,2,0.000596303,,,
Sep-19,,Australian Rural Exports Pty LTd,Darwin,Panjang,6,Sep-19,350,0,0,2387,1,0.000418936,,,
Sep-19,,International Livestock Export Pty Ltd,Broome,Panjang/Pasir Gudang,10,Sep-19,,,,7610,4,0.000525624,,,
Sep-19,,Landmark Operations Limited,Fremantle,Eilat,19,Oct-19,,,,5990,3,0.000500835,,,
Sep-19,,International Livestock Export Pty Ltd,Broome,Hon La/Quy Nhon,13,Oct-19,,,,2261,3,0.001326847,,,
Sep-19,,Frontier International Northern Pty Ltd,Darwin,Jakarta,7,Sep-19,,,,3078,1,0.000324886,,,
Sep-19,,Rural Export & Trading WA Pty Ltd,Fremantle,Shuwaikh/Jebel Ali/Hamad,21,Oct-19,,,,467,0,0,54390,132,0.0024
Sep-19,,Frontier International Northern Pty Ltd,Townsville,Haiphong,11,Oct-19,,,,2305,6,0.002603037,,,
Sep-19,,Frontier International Northern Pty Ltd,Darwin,Panjang,6,Nov-19,,,,3426,0,0,,,
Sep-19,,North Australian Cattle Company Pty Ltd,Townsville,Phu My,10,Oct-19,,,,1824,2,0.001096491,,,
Sep-19,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Balikapan/Jakarta,13,Oct-19,,,,2410,0,0,,,
Sep-19,,South East Asian Livestock Services Pty Ltd,Townsville,Bangkok,11,Oct-19,,,,1870,2,0.001069519,,,
Sep-19,,Australian Rural Exports Pty Ltd,Port Hedland,Panjang,5,Oct-19,,,,2895,0,0,,,
Sep-19,,North Australian Cattle Company Pty Ltd,Townsville,Phu My,11,Oct-19,,,,2143,4,0.001866542,,,
