,Departure Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct,Duration (days)
144,May-14,,,,3198.0,0.0,0.0,,,,4
145,May-14,,,,150.0,0.0,0.0,78461.0,422.0,0.0054,20
146,May-14,,,,3445.0,17.0,0.0049,,,,18
147,May-14,,,,1674.0,1.0,0.0006,,,,8
148,May-14,,,,2790.0,1.0,0.0004,,,,8
149,May-14,,,,2922.0,0.0,0.0,,,,6
150,May-14,,,,4102.0,3.0,0.0007,,,,18
151,May-14,,,,2289.0,3.0,0.0013,,,,8
152,May-14,,,,6814.0,3.0,0.0004,,,,8
153,May-14,,,,2040.0,0.0,0.0,,,,7
154,May-14,,,,2261.0,0.0,0.0,,,,9
155,May-14,,,,2780.0,3.0,0.0011,,,,7
156,May-14,,,,19334.0,9.0,0.0005,,,,13
157,May-14,,,,4100.0,7.0,0.0017,,,,16
158,May-14,,,,,,,70105.0,273.0,0.0039,21
159,May-14,,,,9418.0,44.0,0.0047,56426.0,317.0,0.0056,31
160,May-14,,,,4021.0,0.0,0.0,,,,7
161,May-14,,,,1423.0,1.0,0.0007,,,,11
162,May-14,189.0,0.0,0.0,1217.0,1.0,0.0008,,,,10
163,May-14,,,,3217.0,0.0,0.0,,,,6
164,May-14,,,,1905.0,0.0,0.0,,,,6
165,May-14,,,,4726.0,0.0,0.0,,,,10
166,May-14,,,,2906.0,0.0,0.0,,,,10
167,Jun-14,,,,960.0,8.0,0.0083,,,,16
168,Jun-14,,,,2218.0,8.0,0.0036,,,,6
169,Jun-14,,,,2588.0,4.0,0.0015,,,,7
170,Jun-14,,,,4067.0,1.0,0.0002,,,,7
171,Jun-14,,,,2749.0,3.0,0.0011,,,,6
172,Jun-14,,,,2630.0,3.0,0.0011,,,,9
173,Jun-14,,,,2952.0,0.0,0.0,,,,6
174,Jun-14,,,,1901.0,0.0,0.0,,,,8
175,Jun-14,,,,1974.0,0.0,0.0,,,,7
176,Jun-14,,,,4045.0,3.0,0.0007,,,,13
177,Jun-14,,,,2000.0,0.0,0.0,,,,8
178,Jun-14,,,,3165.0,1.0,0.0003,,,,8
179,Jun-14,,,,2867.0,2.0,0.0007,,,,6
180,Jun-14,,,,3559.0,0.0,0.0,,,,7
181,Jun-14,,,,7022.0,4.0,0.000569638,,,,8
182,Jun-14,,,,4543.0,17.0,0.003742021,50273.0,751.0,0.014938436000000001,22
183,Jun-14,,,,11211.0,20.0,0.001783962,,,,16
184,Jun-14,,,,2662.0,5.0,0.0018782870000000002,,,,22
185,Jun-14,,,,6266.0,0.0,0.0,,,,7
186,Jun-14,,,,2000.0,0.0,0.0,,,,11
187,Jun-14,,,,2038.0,0.0,0.0,,,,13
